Callback,Step,File,CompilationUnit is available,TypeElement is available,Trees.getPath(TypeElement) is available
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\lib\util\Scoring.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\lib\util\swerve\SwerveModule.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\lib\util\swerve\SwerveModuleConstants.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\ClimbPlatformAuto.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\CrossAndDock.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\DoubleScore.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\DoubleScore6.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\LeaveCommunity.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\MiddleScoreEngage.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\Score1.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\Score1Dock.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\SecondGamePiece.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\SecondGamePiece6.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\SecondGamePieceScore.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\TrajectoryBase.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\TripleScore.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\autos\TripleScore6.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\arm\ArmMoving.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\arm\ConeIntake.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\arm\ConeUpIntake.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\arm\CubeIntake.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\arm\DockArm.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\arm\MoveArm.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\arm\ScoreArm.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\arm\VariableArm.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\drive\ClimbPlatform.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\drive\MoveToEngage.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\drive\MoveToPos.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\drive\MoveToScore.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\drive\TeleopSwerve.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\drive\TurnToAngle.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\leds\BouncingBalls.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\leds\FireLEDs.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\leds\FlashingLEDColor.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\leds\MeteorRain.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\leds\MorseCodeFlash.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\leds\MorseCodeStream.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\leds\MovingColorLEDs.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\leds\PoliceLEDs.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\leds\RainbowLEDs.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\leds\Twinkle.java,TRUE,FALSE,FALSE
START,ENTER,C:\Users\wpwatson\dev\FRC2023\src\main\java\frc\robot\commands\test\TestArm.java,TRUE,FALSE,FALSE
